m,y,d,t
Sep.,04,28,61.1F
Jul.,15,9,59F
Feb.,04,24,36.6F
Jul.,17,22,65.6F
Dec.,98,23,40.6F
Mar.,07,2,44.8F
Mar.,15,7,196.3F
May,04,27,51.4F
Jun.,05,22,70.1F
Jul.,18,7,70.5F
Nov.,01,2,47.2F
Nov.,15,20,46.6F
Nov.,95,14,49.4F
Dec.,01,18,35.4F
Sep.,09,29,60F
Nov.,03,26,47.6F
Jan.,14,3,48.9F
May,01,18,51.7F
Oct.,96,14,61.7F
Jul.,05,22,60.6F
Feb.,14,4,42.9F
Feb.,14,13,41.2F
Aug.,99,21,57.1F
Sep.,97,15,168.8F
Dec.,95,17,31.6F
Feb.,04,18,41.9F
Oct.,08,9,190.6F
Jun.,95,26,66.6F
Feb.,19,25,49.5F
Jan.,03,10,23.4F
Mar.,14,24,42.6F
Jun.,01,17,58.4F
Jun.,19,14,63F
Oct.,08,24,50F
Jan.,03,8,22.1F
Oct.,02,15,NA
Feb.,00,19,41.7F
Aug.,08,10,64.5F
May,95,11,48.3F
Oct.,04,25,57.7F
Apr.,98,22,-181.8F
Sep.,08,13,-181.2F
Jun.,09,16,59.7F
Mar.,95,26,49.4F
May,06,29,50.4F
Nov.,12,17,42.5F
Jun.,01,16,59.4F
May,04,30,59F
Jul.,02,6,61.8F
Jun.,10,22,59.1F
Mar.,02,2,34.9F
May,04,19,63.2F
Dec.,05,9,36.5F
Oct.,99,1,57.7F
Jan.,98,5,42.2F
May,17,16,69.2F
Aug.,00,7,65.8F
Jun.,98,3,59.5F
Nov.,00,15,43.4F
Aug.,00,14,72.8F
Jun.,13,22,60.3F
Jul.,08,9,59.1F
Aug.,18,10,63.3F
Aug.,15,5,69.1F
Nov.,98,1,47.5F
Sep.,01,3,61.2F
Mar.,08,28,44.2F
Sep.,10,25,51.3F
Aug.,12,4,NA
Nov.,99,12,36.3F
Jul.,01,12,178.7F
Sep.,07,8,59.6F
Apr.,19,10,45.7F
Nov.,09,19,51.2F
Feb.,08,14,33.1F
Feb.,02,8,50.6F
May,09,24,65.2F
Jun.,04,13,57.5F
Oct.,96,11,53F
Feb.,97,19,42F
Dec.,09,23,32F
Aug.,19,7,67.2F
Oct.,18,12,64.6F
Jul.,98,2,59.2F
Jul.,00,24,62F
May,17,6,54.8F
Sep.,09,18,59.3F
May,98,20,-170.6F
Mar.,12,29,47.8F
Aug.,16,16,61.9F
Apr.,00,24,52.3F
Feb.,17,27,168.7F
Mar.,17,16,51.4F
Jul.,10,7,67.2F
Oct.,97,7,61.6F
May,14,7,150.1F
Jan.,96,18,32.7F
Sep.,96,22,48.5F
Jan.,16,13,40.9F
May,05,30,51.9F
Nov.,98,21,29F
Aug.,17,8,154.8F
Sep.,04,9,63.2F
Sep.,12,5,60.7F
Apr.,09,24,54.2F
Nov.,14,8,49.8F
Apr.,19,24,-99F
Nov.,02,3,54.4F
Mar.,95,14,41.3F
Jul.,17,2,59.7F
Jun.,07,25,60.3F
Jan.,96,25,23.2F
Oct.,18,7,NA
Apr.,13,13,50.8F
Jul.,09,30,63F
Jun.,15,26,69.9F
Aug.,17,7,64F
Apr.,02,12,46.6F
Feb.,95,17,44.5F
Dec.,05,22,190.2F
May,06,19,NA
Nov.,18,28,45.8F
Feb.,00,22,40.1F
Aug.,18,25,56F
Oct.,01,19,59.3F
Feb.,04,13,44.9F
May,03,3,54.6F
Mar.,13,8,52.3F
Jul.,97,1,57.6F
Dec.,98,22,38F
May,07,6,54.4F
May,10,2,50.7F
Aug.,14,24,56.2F
Jul.,17,31,65.8F
Mar.,13,25,32.4F
Dec.,06,12,NA
Sep.,13,17,50.9F
May,98,29,61.1F
Apr.,09,8,49.6F
Aug.,03,17,64.1F
Oct.,01,15,62.8F
Dec.,10,16,34.5F
Oct.,95,11,57.8F
Mar.,08,13,45.4F
Jul.,19,29,66.9F
Mar.,08,14,48.1F
Jan.,16,29,45.7F
Jan.,12,28,38F
Apr.,07,12,56.5F
Jul.,05,27,68.7F
Nov.,16,9,39.5F
Sep.,12,17,59.9F
Mar.,09,3,42.9F
Feb.,98,14,50.7F
Sep.,01,10,53.6F
Dec.,19,24,47.9F
May,17,1,51.8F
Feb.,14,9,41.9F
Mar.,01,10,51.6F
Mar.,01,27,-188.9F
Feb.,15,3,33.2F
Feb.,02,22,45.9F
Jan.,15,9,49.2F
Oct.,98,4,42.2F
May,16,6,61.9F
May,15,31,55.8F
Dec.,98,3,29.5F
May,04,21,52.9F
Oct.,15,21,48.7F
May,07,7,57F
Dec.,15,31,-99F
Dec.,96,9,30.8F
Oct.,09,8,54.7F
Feb.,15,1,36.1F
Feb.,17,14,42.7F
Aug.,07,4,68F
May,07,27,57.3F
Aug.,96,6,64.7F
Apr.,10,26,53.5F
Sep.,17,11,56.9F
May,15,13,55.2F
Sep.,17,7,59.1F
Nov.,10,17,39.6F
Sep.,95,9,60.9F
Mar.,13,30,32.4F
Oct.,04,15,48.5F
Oct.,11,27,52.6F
Apr.,14,19,50F
Aug.,12,12,66.2F
Oct.,13,29,49.6F
May,07,29,52.1F
Jul.,12,27,71.7F
Nov.,11,24,NA
Dec.,11,18,34.9F
May,99,22,-178.1F
Oct.,17,4,54F
Sep.,15,7,57.7F
Nov.,05,13,45.7F
Sep.,97,23,54.1F
Jul.,17,5,68.2F
Dec.,01,1,166.5F
Jun.,06,26,60.5F
Feb.,08,9,44.8F
Sep.,03,8,59.8F
Sep.,03,18,69.4F
Feb.,02,16,35.6F
Apr.,96,10,52.4F
Aug.,05,10,61.4F
Feb.,16,5,48.2F
Jan.,11,11,39.4F
Jan.,12,1,53.9F
Aug.,05,23,61.5F
May,02,23,59F
Mar.,18,4,-186.3F
Mar.,17,25,48F
May,08,4,151.2F
Nov.,12,14,43.9F
Mar.,11,22,47.9F
May,00,16,70.2F
Dec.,13,12,33.6F
Feb.,14,5,45F
May,96,23,-185.1F
Sep.,13,1,57.3F
Feb.,18,22,31.7F
Jan.,17,19,28.5F
May,10,7,45.6F
Dec.,02,14,38.2F
Mar.,06,2,31.8F
Jul.,06,29,70.6F
Nov.,01,6,49.4F
Apr.,14,21,55.6F
Dec.,15,27,51.3F
Jun.,03,23,NA
Jul.,03,27,67.7F
Nov.,05,30,35.8F
Dec.,03,5,39.5F
Feb.,19,9,46.3F
Feb.,13,4,46F
Jul.,03,20,179.3F
Aug.,96,15,62.4F
Dec.,04,20,30.2F
Sep.,97,21,-153.5F
May,00,9,68.2F
Aug.,97,24,NA
Apr.,97,18,43.5F
Aug.,10,22,-193.7F
Nov.,13,10,43.1F
Jan.,96,9,46.3F
Aug.,03,31,56.5F
Aug.,06,31,59.9F
Sep.,12,19,51.6F
Feb.,19,14,42.5F
Sep.,09,14,-170.8F
Mar.,97,28,45.9F
May,01,8,NA
Jan.,10,1,29.9F
Dec.,01,27,36.5F
May,11,1,57.7F
Dec.,96,20,38.8F
Sep.,07,1,62.1F
May,16,15,48F
Mar.,97,27,54.2F
Jan.,17,3,34.8F
Jan.,15,31,34.2F
Jul.,17,27,64.5F
Mar.,98,17,48.5F
May,05,14,54F
Jul.,02,17,66.3F
Dec.,98,15,50F
May,15,12,59.8F
Dec.,17,15,37.7F
Mar.,10,16,44.6F
Jan.,02,4,26.8F
Jul.,19,14,60.5F
Mar.,16,10,-99F
Dec.,17,13,40.7F
Sep.,97,24,54.4F
Apr.,03,4,-169.5F
Sep.,19,10,-191.7F
Dec.,15,19,-178.1F
Aug.,02,21,62.4F
Mar.,12,7,38.9F
Oct.,12,13,47.8F
Dec.,97,1,40.7F
Oct.,07,13,52.6F
Feb.,08,18,36F
Dec.,99,27,38.8F
Dec.,08,26,30.8F
Feb.,13,16,NA
Dec.,11,29,42.4F
Jul.,96,18,59.6F
Jun.,97,25,53.7F
Jun.,11,19,-152.1F
Dec.,98,17,44.3F
Dec.,00,28,34.2F
Mar.,08,11,47.1F
Apr.,00,30,56.8F
Dec.,18,19,45.6F
Sep.,98,25,64.5F
Aug.,97,22,69.7F
Aug.,97,28,62.3F
Jul.,96,23,73F
Mar.,01,9,49.5F
Aug.,03,8,73.1F
Oct.,06,6,59F
Mar.,18,24,45.7F
Jan.,12,12,45.3F
Dec.,04,26,35.9F
Oct.,12,1,55.4F
Aug.,13,22,63.1F
Jul.,11,21,60.6F
Jul.,09,31,60.7F
Jun.,08,29,62.4F
Jan.,02,23,45.2F
Jun.,17,19,75F
Feb.,10,5,41.7F
Oct.,95,22,43.8F
Jan.,95,2,35.4F
Oct.,03,9,56.2F
Jun.,14,15,58.8F
Feb.,09,25,40.5F
Nov.,97,30,47F
Sep.,04,11,66.4F
May,96,19,54.2F
Nov.,96,28,34.3F
Sep.,10,23,63.1F
Sep.,08,24,55.1F
Nov.,09,25,51.2F
Oct.,12,6,54F
Mar.,05,20,51.7F
Jun.,13,19,70.8F
Dec.,96,17,38.1F
Jul.,00,1,-175.9F
Jan.,20,19,38.5F
Mar.,11,25,50.8F
Nov.,05,14,40.9F
Apr.,98,2,52.8F
Apr.,95,9,43.5F
Jul.,09,9,58F
Jun.,95,24,59.2F
Jan.,12,31,28F
Jan.,07,14,45F
Apr.,19,1,48.3F
Jul.,01,27,72.5F
Aug.,00,15,67.1F
May,00,5,62.4F
Aug.,13,10,60.5F
May,06,17,-180.3F
Sep.,98,27,59.2F
Jun.,11,4,73.1F
Oct.,15,12,41.1F
Apr.,08,24,52.8F
Feb.,08,21,46F
Apr.,12,15,42.7F
Jan.,05,17,42.9F
Jun.,10,9,61.9F
May,18,10,54.6F
Aug.,11,20,65.8F
Sep.,09,22,60.5F
Aug.,09,17,63.2F
Oct.,08,16,51.3F
Jun.,96,5,69.5F
Dec.,08,20,48.9F
Dec.,99,31,39.6F
Feb.,12,5,19F
Feb.,08,28,43.7F
Aug.,98,22,58.1F
May,05,27,75F
Mar.,06,15,36.3F
Aug.,03,13,190.3F
Dec.,08,12,32.8F
Jul.,15,17,75.2F
Jan.,95,1,35.1F
Feb.,99,27,42.9F
May,20,8,60.2F
Mar.,10,29,53.1F
Jan.,13,12,NA
Mar.,98,23,40.2F
Jun.,15,21,61.4F
Oct.,96,9,53.4F
Apr.,08,6,40.6F
Apr.,97,14,48.3F
Jan.,15,19,33.5F
Feb.,03,8,43.5F
Aug.,04,2,69.8F
Oct.,06,5,54.7F
Jun.,98,23,59.9F
Aug.,10,21,70.5F
Jun.,19,30,72.4F
Nov.,06,10,42.4F
Sep.,02,21,56.5F
Jan.,98,8,50.2F
Mar.,18,17,29.8F
Jan.,12,7,45.2F
Dec.,00,20,38.9F
Jul.,14,11,61.8F
Sep.,11,4,65.4F
Aug.,02,26,64.2F
Nov.,04,29,44.8F
Jul.,03,13,67.3F
Feb.,99,28,45.2F
Jan.,13,29,51.1F
Dec.,95,25,31.8F
Feb.,10,17,31.3F
Jul.,98,28,62.1F
Mar.,08,27,41.9F
Oct.,06,2,60.5F
Aug.,08,21,62.1F
Jun.,10,12,58.4F
Jun.,96,16,171F
Dec.,95,3,41.4F
Feb.,09,16,42.6F
Oct.,95,4,64.2F
Aug.,96,12,160F
Nov.,09,23,50.8F
Mar.,98,7,50.3F
May,02,2,-156.8F
Aug.,06,7,177F
Sep.,12,11,61.2F
Aug.,02,8,65.2F
Apr.,09,7,-159.1F
Jan.,98,31,33.2F
Jan.,01,3,45.1F
Dec.,99,12,-198.5F
Jul.,03,31,66.8F
Apr.,00,17,50.6F
Feb.,12,21,NA
Apr.,04,23,53.4F
Jul.,00,4,62.9F
Feb.,00,10,43.1F
Feb.,97,11,42.7F
Apr.,18,28,54.8F
May,07,11,-180.9F
Jan.,00,22,39.6F
Dec.,07,9,45.7F
Apr.,15,27,47.8F
Jan.,04,15,40.2F
Sep.,06,7,61.8F
Apr.,18,10,NA
Jan.,98,25,32.5F
Sep.,07,2,63.2F
Feb.,00,3,NA
Mar.,97,25,46.6F
Jun.,06,6,52.9F
Sep.,05,21,57.5F
Aug.,04,22,60.3F
May,00,26,58.1F
Jul.,14,22,70.4F
Oct.,15,26,NA
Apr.,04,3,53.3F
Mar.,12,23,55.8F
May,01,25,-166F
Jun.,99,14,64.1F
Aug.,18,15,64.8F
Jun.,19,18,69.7F
Aug.,12,1,68.5F
Aug.,05,15,60F
Apr.,13,28,45.6F
Aug.,17,27,-197.8F
Mar.,13,1,35.7F
Apr.,99,24,50.3F
Oct.,01,16,NA
Jun.,02,28,56.2F
Jul.,04,8,62.4F
Feb.,02,24,39.2F
Aug.,96,29,55.5F
Jun.,02,26,64.3F
Mar.,96,12,28.6F
Mar.,97,31,48.1F
May,18,3,52F
Apr.,11,2,61.8F
Jun.,00,17,61.6F
Jan.,14,25,38.2F
Jul.,06,11,69.5F
May,05,2,61.9F
Jun.,06,8,62F
May,15,20,49.5F
Jan.,20,18,39.6F
Feb.,08,4,43.4F
May,02,7,56F
Feb.,98,19,46.6F
Dec.,00,1,54.3F
Mar.,96,1,38.2F
Dec.,98,6,33.7F
Apr.,01,25,52F
Mar.,18,26,42.9F
Oct.,14,3,63.3F
Oct.,08,28,41.4F
Aug.,01,5,63.6F
Dec.,16,22,42.6F
Sep.,08,12,NA
Nov.,11,29,44.4F
Aug.,00,5,62.2F
Feb.,06,17,42.1F
Jun.,02,14,68.1F
Jul.,14,24,69.1F
Aug.,14,26,58.6F
Jan.,19,9,39.5F
Jun.,03,13,66.4F
Apr.,00,8,NA
Feb.,14,6,-99F
Oct.,01,14,62.5F
Jun.,02,18,-99F
Feb.,10,10,25.1F
Jan.,08,5,44.6F
Feb.,02,11,52.2F
Jul.,01,20,NA
Apr.,99,15,40F
Jan.,15,23,29.3F
Nov.,01,30,53.9F
Oct.,97,31,38.9F
Apr.,06,12,46.6F
Dec.,00,23,34.2F
Jul.,96,17,58.9F
Aug.,02,3,60.7F
Feb.,17,3,48.3F
Oct.,95,26,57F
Jul.,95,20,154.2F
May,12,15,47F
Feb.,18,19,35.2F
Jun.,05,25,72.1F
Apr.,02,18,49.2F
May,00,4,56.2F
Nov.,12,21,44F
Oct.,18,18,54.7F
Dec.,15,7,50.7F
Aug.,14,25,NA
Nov.,05,19,35.6F
Oct.,99,17,187.9F
Dec.,03,14,45.8F
Oct.,96,26,52.2F
Nov.,08,8,47.8F
Jan.,15,4,36.6F
Mar.,18,29,44.8F
Jul.,17,14,61.7F
Mar.,09,4,41.7F
Jun.,96,19,55.8F
May,15,24,56.3F
Mar.,97,20,42.3F
Apr.,03,3,41.4F
Sep.,97,10,56.4F
Sep.,11,19,55.4F
Dec.,98,18,42.9F
Jan.,20,23,36.7F
Jan.,01,10,35.9F
Jul.,02,23,63.1F
Sep.,09,26,53.6F
Nov.,09,5,47F
Jun.,02,17,77.4F
Apr.,98,6,NA
Apr.,17,21,50.3F
Jan.,19,8,43.9F
Jul.,04,16,68.6F
Oct.,17,29,51F
Jun.,13,2,NA
May,96,29,62.1F
Jun.,18,19,-156.9F
Aug.,96,20,74F
Nov.,15,12,55.3F
Jan.,18,9,37.5F
Feb.,20,21,43.3F
May,99,25,57.3F
Sep.,96,29,60F
Sep.,12,3,NA
Jul.,09,5,69F
Mar.,08,25,34.5F
Jul.,07,4,58.4F
Aug.,01,21,67.6F
Jun.,12,8,59.1F
Jan.,14,22,37F
Feb.,01,6,52.8F
May,18,8,68.6F
Aug.,17,21,156.6F
Jan.,04,22,35.9F
May,12,20,58.8F
Feb.,95,15,50.5F
Sep.,06,26,60F
Aug.,06,1,187.3F
Sep.,03,25,52.7F
Apr.,16,4,55.3F
Jun.,00,1,59.7F
May,17,24,NA
Aug.,10,3,62.8F
Feb.,12,2,20F
Aug.,09,1,67.9F
Feb.,98,17,43F
May,13,22,48.6F
Jul.,07,8,59.7F
Jul.,98,19,-169.3F
May,07,18,61.4F
Mar.,19,31,48F
Jul.,98,9,59.8F
Aug.,97,21,73.8F
Mar.,08,5,36.4F
Apr.,96,4,38.9F
Feb.,10,28,44F
Jul.,05,14,NA
Dec.,00,24,33.6F
Oct.,16,13,46.3F
Mar.,20,19,47.1F
Jan.,15,1,35.6F
Jul.,17,19,74.3F
May,17,17,71F
Jun.,95,14,52.9F
Oct.,11,18,50.6F
Aug.,14,15,58.2F
Apr.,18,20,-176F
Feb.,04,3,56.1F
May,96,3,47.8F
Jul.,17,8,68.1F
Nov.,98,2,44.1F
Oct.,10,2,59.3F
Nov.,99,1,55.6F
Dec.,16,3,33.6F
Feb.,19,20,-163.2F
Jul.,10,16,67.9F
Oct.,99,29,52.7F
Oct.,04,24,62.8F
Mar.,95,15,41.3F
May,06,1,46.9F
Oct.,18,23,50.4F
Jul.,03,16,76.4F
Jun.,08,14,52.9F
Dec.,98,26,48.1F
Mar.,17,5,43.8F
Sep.,06,5,66F
Mar.,15,29,49.9F
Mar.,15,31,49.4F
Oct.,18,28,37.9F
Oct.,19,23,55.3F
Oct.,10,4,194.3F
Nov.,02,13,50.2F
Mar.,06,31,53F
Jan.,18,21,36.9F
Aug.,97,15,68.2F
Jan.,04,13,47.1F
Dec.,14,31,36.7F
Sep.,11,2,66.5F
Aug.,03,19,66.3F
Dec.,10,11,42.4F
Nov.,10,27,31.8F
Mar.,01,28,47.3F
Mar.,09,14,48.2F
May,00,15,69.4F
Feb.,98,20,51.2F
Nov.,04,21,37F
Apr.,01,3,54.9F
Aug.,13,16,-157.6F
Mar.,07,22,42.3F
Jun.,96,20,50.8F
Jan.,05,5,-184.7F
Mar.,15,27,43.1F
Nov.,98,25,33.2F
Oct.,97,25,45.5F
Nov.,05,22,35.2F
Aug.,00,1,71.6F
Apr.,06,28,46.9F
Nov.,11,20,41F
Jul.,05,1,64.4F
Dec.,13,28,44.4F
Sep.,10,14,-176.5F
Oct.,05,11,60.4F
May,96,18,54.8F
Mar.,03,22,44.8F
Jan.,96,28,25.8F
Jan.,04,27,32.7F
Jan.,16,21,32.6F
Sep.,16,2,62.6F
Jan.,20,28,41.2F
Jun.,15,8,NA
Dec.,99,4,39.8F
May,05,12,49.2F
Mar.,05,15,46.8F
Feb.,10,11,26.2F
Jul.,96,2,56.8F
Sep.,04,23,57.9F
Aug.,00,28,61F
Dec.,04,31,48.9F
Apr.,19,28,47.1F
Nov.,09,21,56.4F
Jul.,05,4,-167.1F
Aug.,14,5,65.9F
Feb.,04,14,44.6F
Apr.,07,27,65F
Sep.,05,9,69F
Feb.,02,28,41.5F
Jan.,98,16,45.4F
Jan.,13,6,NA
Jun.,16,7,68.3F
Nov.,14,29,38.6F
Sep.,10,10,60.1F
Jun.,16,17,58.1F
Apr.,11,4,NA
Sep.,00,9,67.5F
Oct.,00,4,56.1F
Aug.,97,6,72.1F
Oct.,19,26,61.6F
Oct.,05,26,-197.9F
Nov.,08,16,49.9F
Dec.,95,9,34.8F
Dec.,10,19,NA
Mar.,14,18,48.7F
Oct.,96,22,-177.9F
Jan.,10,8,-188.8F
Sep.,00,4,56.5F
Jul.,06,24,-172.1F
Jan.,99,16,46.3F
Jan.,18,10,44.5F
May,17,30,65F
Mar.,96,29,38.4F
Jul.,98,5,63.4F
Nov.,13,14,42.8F
Sep.,18,2,60F
Aug.,14,29,62.7F
Jul.,00,13,58.1F
Mar.,11,1,38.9F
Jul.,12,7,-182.9F
Aug.,17,13,62.8F
Mar.,19,29,50.9F
Nov.,11,23,48.9F
Dec.,10,21,31.8F
Feb.,96,5,27.6F
Sep.,99,13,65.5F
Oct.,14,10,56.9F
Oct.,18,31,45.7F
Sep.,15,10,57.1F
Apr.,02,11,45.1F
May,09,13,58.9F
Nov.,18,22,36F
Jan.,13,20,153.5F
Aug.,98,12,72F
Apr.,17,25,43.2F
Jun.,97,22,55.4F
Apr.,18,30,48.4F
May,00,18,53.8F
Nov.,08,27,NA
Sep.,18,21,60.9F
Feb.,95,9,36.4F
Jul.,18,12,66.4F
Dec.,07,11,41.3F
Nov.,04,22,52.5F
Jun.,11,25,-157.9F
Mar.,06,11,34.5F
Feb.,00,7,46.7F
Dec.,01,9,30.9F
May,02,3,48.7F
May,99,16,49.3F
Apr.,98,15,42.5F
Apr.,99,29,50.9F
Apr.,09,6,56F
Nov.,15,22,36.5F
Jan.,13,9,41.2F
Feb.,12,19,NA
Feb.,97,2,31.6F
Feb.,00,25,44.3F
Mar.,99,8,199.6F
Dec.,03,2,47.2F
Dec.,07,8,-188.3F
Feb.,01,3,42.3F
Jun.,07,14,66.2F
Jan.,10,24,34.9F
May,97,20,56.5F
May,00,6,65.2F
Mar.,00,10,49.1F
Nov.,01,22,44.8F
May,13,20,50.8F
Sep.,08,1,62.4F
Dec.,97,30,42.6F
Nov.,19,27,50.7F
Jul.,04,9,NA
Jan.,12,20,41.1F
Mar.,16,22,44.9F
Sep.,02,11,58.1F
Sep.,19,2,59.7F
Aug.,16,25,78.1F
Oct.,17,9,55.1F
Dec.,17,10,37.3F
Mar.,00,7,48.6F
Sep.,01,27,60.2F
Oct.,96,1,50.5F
Jun.,09,11,166.5F
Jul.,07,11,57.7F
Jun.,96,18,62.6F
Nov.,01,5,48.2F
Dec.,18,5,45.5F
Jan.,02,15,39.4F
Dec.,11,25,46.3F
Apr.,09,23,49F
Aug.,16,3,64.4F
Aug.,19,13,57.6F
Feb.,14,2,40.6F
Aug.,99,19,60.7F
Sep.,03,30,54F
Dec.,19,9,43.9F
Jun.,05,10,58.2F
Oct.,99,12,50.6F
Jun.,99,29,62.9F
Jan.,07,2,42.1F
Dec.,16,10,45.3F
Jun.,14,25,59.4F
Jun.,10,14,60.6F
Mar.,11,2,37.6F
Apr.,96,9,49.6F
May,02,31,57.6F
Feb.,14,3,39.6F
May,96,10,43.5F
May,95,16,52.7F
May,03,11,NA
Feb.,19,17,49F
Nov.,00,18,43.9F
Jan.,15,2,42.2F
May,08,3,55.6F
Mar.,17,10,43.6F
Jul.,04,24,64.9F
Oct.,04,31,47.7F
Nov.,08,24,34.5F
Jun.,08,20,NA
Jan.,01,27,40.4F
May,99,14,55.9F
Jan.,15,8,43.7F
Apr.,01,10,49F
Jul.,06,12,67.5F
Oct.,03,21,43.2F
Jan.,96,7,43.4F
Jan.,97,3,18.1F
Aug.,97,3,64.2F
Dec.,07,26,37.9F
Jan.,97,30,35F
Jul.,02,12,62.9F
Aug.,97,30,62.6F
Nov.,18,17,NA
Aug.,97,29,60.8F
Oct.,96,5,48.6F
Sep.,16,24,63.1F
Nov.,03,8,42.1F
Aug.,08,8,63F
May,14,8,53.1F
Oct.,10,28,50.3F
Jan.,17,30,42.9F
Sep.,17,24,195.8F
Dec.,00,19,NA
Dec.,00,2,51.6F
Dec.,12,26,46F
Nov.,03,27,41.6F
Aug.,16,27,73.6F
Feb.,11,10,46.3F
Apr.,04,15,53.9F
Jan.,14,1,45.3F
Jun.,03,12,67.8F
Feb.,99,11,30.7F
Nov.,04,10,42.3F
Nov.,14,1,59.9F
Feb.,00,21,37.7F
Oct.,04,1,61F
Nov.,99,10,47F
Dec.,10,12,38.6F
Apr.,01,5,45.4F
Oct.,11,14,46.6F
Aug.,07,28,-99F
Oct.,15,25,51.1F
Oct.,99,2,157F
Jun.,14,7,70.7F
Feb.,15,16,36.2F
Dec.,12,20,38.8F
May,00,20,53.7F
Jul.,12,23,66.4F
Jun.,03,25,63.7F
Mar.,05,1,28.3F
Oct.,97,29,33.3F
Oct.,16,31,51.2F
Nov.,02,11,51.9F
Jan.,08,2,151.7F
Dec.,02,10,25.7F
Dec.,11,10,37.5F
Jun.,12,7,186.4F
Sep.,00,11,68.6F
Nov.,17,1,49.6F
Aug.,09,15,NA
May,98,9,66.7F
Oct.,19,11,179.4F
Sep.,99,1,62.2F
May,98,5,49.4F
Jul.,18,26,-157.2F
May,95,28,63.1F
Oct.,95,17,NA
Nov.,02,25,43.9F
Jan.,09,30,31.5F
Jul.,17,30,69.4F
Aug.,08,23,56.9F
Nov.,04,30,40.7F
Feb.,15,23,41.3F
Jun.,08,25,65.7F
May,96,21,51.8F
Jan.,05,10,52.6F
Nov.,06,20,45.4F
Nov.,03,18,53.2F
Dec.,11,2,45.3F
Jan.,02,1,28.5F
Nov.,98,27,42.8F
Jun.,08,24,63.7F
Sep.,02,6,61.9F
Jan.,00,11,34.4F
Aug.,19,19,61.7F
Feb.,15,11,37.7F
May,06,11,-153.6F
Sep.,02,25,NA
Mar.,07,18,45.2F
Nov.,11,19,44F
Mar.,20,15,50.3F
May,16,20,179.8F
May,12,17,50.1F
Oct.,07,9,54.1F
Nov.,17,21,50.2F
Jan.,08,22,41.8F
Mar.,08,20,41F
Mar.,03,30,52.7F
Dec.,06,3,48.4F
Nov.,04,5,NA
Sep.,07,29,52.6F
Dec.,97,6,NA
Dec.,17,12,34F
Dec.,12,19,NA
Jun.,16,4,58.1F
Nov.,09,15,50.7F
Mar.,03,29,57.2F
Mar.,17,30,60.8F
Nov.,16,10,44.7F
Sep.,06,21,196.3F
Jun.,99,4,57.2F
Sep.,99,14,NA
Jan.,18,18,43.3F
Apr.,18,25,NA
Sep.,19,8,55.9F
Feb.,14,12,42F
May,18,27,71F
Jan.,95,25,44F
Mar.,10,27,48.9F
Nov.,11,26,NA
Dec.,03,4,40.7F
Apr.,99,2,55.3F
Jul.,98,14,58.6F
Jan.,04,26,33.9F
Jul.,08,17,58.8F
Jun.,95,25,65.4F
Dec.,98,2,28.1F
Feb.,11,28,37.9F
Oct.,07,30,47.3F
Oct.,07,1,52.4F
Jun.,18,14,59.6F
Aug.,11,24,64.6F
Dec.,05,18,35F
Oct.,16,15,53.2F
Jan.,20,6,41.9F
Dec.,97,17,30.8F
Apr.,96,17,NA
Jan.,17,17,27.7F
Dec.,05,26,36F
May,08,14,66.3F
Feb.,01,20,41.7F
Jul.,95,29,70.8F
Sep.,10,13,NA
Feb.,18,8,NA
Dec.,10,10,39.8F
Nov.,13,21,36.7F
Nov.,09,4,46.9F
Sep.,08,3,56.6F
Oct.,07,28,49.1F
Nov.,19,23,42.6F
Sep.,12,10,67.1F
Jan.,15,24,34.8F
May,13,2,54.5F
Oct.,19,10,54.3F
Jun.,15,4,62.4F
Nov.,15,21,38.9F
Sep.,19,30,58.2F
Nov.,05,4,55.9F
Dec.,08,27,27.2F
Dec.,03,22,34.7F
Jan.,11,28,28.8F
May,95,1,53.6F
Aug.,95,11,74.3F
Jan.,97,12,33.6F
Oct.,11,9,-182.8F
Jul.,11,31,58.9F
Jan.,06,21,41.7F
Mar.,10,7,30.2F
Nov.,95,19,41.5F
May,04,17,62.7F
Nov.,13,16,35.9F
Aug.,16,10,54.5F
Jun.,17,9,62.4F
Feb.,95,16,46.8F
Aug.,06,15,60F
Aug.,95,3,177.1F
Aug.,10,30,56.8F
Mar.,10,23,50.4F
Oct.,07,27,47.8F
May,14,9,55.4F
Sep.,12,28,55F
Apr.,07,9,50.4F
Aug.,00,31,58.5F
May,13,8,57.7F
Jul.,12,24,69.2F
Dec.,14,3,31.7F
Jan.,11,2,34.5F
Apr.,10,6,NA
Nov.,96,13,43.5F
Feb.,99,10,30.9F
Dec.,99,25,44.7F
Jan.,96,26,18.7F
Jul.,07,22,61.5F
Apr.,00,5,40.8F
Jun.,01,28,66.4F
Feb.,00,26,38.9F
Nov.,18,15,-99F
Sep.,16,22,61F
Dec.,13,22,46.4F
Jul.,17,17,67F
Dec.,02,8,31.6F
Sep.,07,9,58.9F
May,14,17,58F
Sep.,04,29,57.2F
Jan.,95,18,166.8F
Mar.,04,30,50F
Nov.,14,19,NA
Jun.,19,27,65.3F
Jul.,97,2,58F
Dec.,05,30,29.4F
Jul.,19,1,65.2F
Sep.,19,19,52.5F
Nov.,11,2,54.3F
Oct.,06,12,58.5F
Apr.,17,24,49.2F
Jul.,15,5,68.7F
Jan.,10,5,28F
Dec.,11,12,44.4F
Dec.,99,16,33.5F
Oct.,01,20,NA
May,01,4,47.3F
Jan.,99,12,31.6F
